Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,202.057,-93.98,-90.0,top
C2,1u,C_0402_1005Metric,196.596,-92.964,90.0,top
C3,100n,C_0402_1005Metric,194.1068,-85.1916,0.0,top
C4,100n,C_0402_1005Metric,181.8132,-87.3252,180.0,top
C5,2.2u,C_0402_1005Metric,193.6268,-88.646,0.0,top
C6,100n,C_0402_1005Metric,191.6176,-80.7212,90.0,top
C7,100n,C_0402_1005Metric,191.008,-91.186,-90.0,top
C8,100n,C_0402_1005Metric,182.6768,-86.3092,180.0,top
C9,100n,C_0402_1005Metric,187.4012,-80.7212,90.0,top
C10,100n,C_0402_1005Metric,186.944,-91.1352,-90.0,top
C11,100n,C_0402_1005Metric,193.548,-86.3092,0.0,top
C12,100n,C_0402_1005Metric,192.024,-91.186,-90.0,top
C13,2.2u,C_0402_1005Metric,193.6268,-89.7636,0.0,top
C14,2.2u,C_0402_1005Metric,193.6268,-90.8304,0.0,top
C15,100n,C_0402_1005Metric,199.7964,-81.1504,90.0,top
C16,2.2u,C_0402_1005Metric,200.914,-81.1504,90.0,top
C17,12pF,C_0402_1005Metric,177.8526,-82.804,180.0,top
C18,12pF,C_0402_1005Metric,177.8018,-88.3412,0.0,top
C19,100n,C_0402_1005Metric,171.2468,-70.9168,0.0,top
C20,10p,C_0402_1005Metric,171.3992,-81.026,0.0,top
C21,10p,C_0402_1005Metric,173.101,-69.85,180.0,top
C22,10p,C_0402_1005Metric,174.7012,-69.4156,90.0,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,205.6072,-89.424,90.0,top
J2,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,196.867,-98.704,90.0,top
J3,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,205.8416,-77.8256,0.0,top
J4,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,166.9546,-81.2192,0.0,top
J5,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,166.9546,-92.0042,0.0,top
J6,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,179.8678,-66.5476,90.0,top
R1,0,R_0402_1005Metric,196.088,-94.488,180.0,top
R2,10k,R_0402_1005Metric,183.642,-90.1192,-90.0,top
R3,DNS,R_0402_1005Metric,198.4248,-75.5396,0.0,top
R4,27,R_0402_1005Metric,195.7832,-86.7664,180.0,top
R5,1k,R_0402_1005Metric,196.1388,-75.5396,0.0,top
R6,27,R_0402_1005Metric,195.7832,-87.884,180.0,top
R7,1k,R_0402_1005Metric,180.594,-86.233,180.0,top
R8,10k,R_0402_1005Metric,188.1378,-93.3958,90.0,top
R9,10k,R_0402_1005Metric,189.2554,-93.3704,90.0,top
R10,11k,R_0402_1005Metric,187.648977,-72.8512,90.0,top
R11,11k,R_0402_1005Metric,186.529399,-72.8512,90.0,top
R12,11k,R_0402_1005Metric,185.409827,-72.8512,90.0,top
R13,11k,R_0402_1005Metric,184.290255,-72.8512,90.0,top
R14,11k,R_0402_1005Metric,183.170683,-72.8512,90.0,top
R15,11k,R_0402_1005Metric,182.051111,-72.8512,90.0,top
R16,11k,R_0402_1005Metric,180.931539,-72.8512,90.0,top
R17,11k,R_0402_1005Metric,179.811967,-72.8512,90.0,top
R18,11k,R_0402_1005Metric,178.692395,-72.8512,90.0,top
R19,11k,R_0402_1005Metric,177.572823,-72.8512,90.0,top
R20,11k,R_0402_1005Metric,176.453251,-72.8512,90.0,top
R21,22k,R_0402_1005Metric,190.067011,-75.055,90.0,top
R22,22k,R_0402_1005Metric,188.935058,-75.055,90.0,top
R23,22k,R_0402_1005Metric,187.803115,-75.055,90.0,top
R24,22k,R_0402_1005Metric,186.671172,-75.055,90.0,top
R25,22k,R_0402_1005Metric,185.539229,-75.055,90.0,top
R26,22k,R_0402_1005Metric,184.407286,-75.055,90.0,top
R27,22k,R_0402_1005Metric,183.275343,-75.055,90.0,top
R28,22k,R_0402_1005Metric,182.1434,-75.055,90.0,top
R29,22k,R_0402_1005Metric,181.011457,-75.055,90.0,top
R30,22k,R_0402_1005Metric,179.879514,-75.055,90.0,top
R31,22k,R_0402_1005Metric,178.747571,-75.055,90.0,top
R32,22k,R_0402_1005Metric,177.615628,-75.055,90.0,top
R33,22k,R_0402_1005Metric,176.483685,-75.055,90.0,top
R34,1k,R_0402_1005Metric,171.4246,-79.883,180.0,top
R35,2.2k,R_0402_1005Metric,172.974,-81.534,-90.0,top
R36,1k,R_0402_1005Metric,169.037,-74.422,90.0,top
R37,2.2k,R_0402_1005Metric,174.117,-70.993,180.0,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.313,-98.425,0.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,186.817,-98.425,0.0,top
U1,XC6206PxxxMR,SOT-23-3,199.2685,-93.472,0.0,top
U2,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,196.3846,-80.7076,-90.0,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,188.376,-85.9875,-90.0,top
U4,OPA2192,SOIC-8_3.9x4.9mm_P1.27mm,172.6692,-75.3364,90.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,177.839,-85.598,90.0,top
